name,address,lat,lon,hours,source,state,phone,website,facility_type,osm_id
CORE Food Pantry,"68 West Hollis Street, Nashua, 03060",42.7561972,-71.4698421,Th 09:30-11:30,osm,,,https://www.nfbconline.org/,food_bank,way/203920641
New Hampshire Food Bank,"700 East Industrial Park Drive, Manchester, 03109",42.9795881,-71.4095641,,osm,,,https://www.nhfoodbank.org/,food_bank,way/207690519
Nourishing Hope,"3945 North Sheridan Road, Chicago, IL, 60613",41.9539963,-87.6541094,,osm,IL,,,food_bank,way/210330504
St Joseph Food Pantry,350 North Street,42.4536857,-73.2514764,,osm,,,,food_bank,way/215698150
The People First Food Pantry,19 Douglas Street,42.0769546,-71.6313926,,osm,,,,food_bank,way/216391998
Amherst Survival Center,"138 Sunderland Road, Amherst, MA, 01002",42.4146951,-72.532882,"Mo,Tu,Th,Fr 11:00-15:00; Th 11:00-19:00; We off; Sa[3] 09:30-11:30",osm,MA,,https://amherstsurvival.org/,food_bank,way/217245651
Rosemary Rebecca Lodge;Comforts Food Pantry,"405 Main Street, Minong, 54859",46.1011043,-91.8197197,"Th[1] 15:30-18:00; We[2] 09:30-12:00; Fr[3] 09:30-12:00,14:30-17:30",osm,,,https://www.fmpfoodbank.org/get_help.phtml/washburn_county/,food_bank,way/217379024
just food,,38.9649028,-95.223085,,osm,,,,food_bank,way/219358803
Trinity Interfaith Food Pantry,"1011 Vermont Street, Lawrence, KS, 66044",38.9646485,-95.2373898,Tu 13:00-15:00; Sa 10:00-12:00,osm,KS,,,food_bank,way/219401780
Hope For Hunger,"5404 West Luke Avenue, Glendale, AZ, 85301",33.518983,-112.177148,,osm,AZ,,,food_bank,way/220972301
Second Harvest Cypress Center,"4001 North 1st Street, San Jose, CA, 95134",37.4132539,-121.9526554,Mo-Fr 08:00-17:00,osm,CA,+1-408-266-8866,https://www.shfb.org/,food_bank,way/224128792
Western Upper Peninsula Food Bank,,47.1128157,-88.5698864,,osm,,,,food_bank,way/224163831
Jefferson County Community Ministries,"238 West Washington Street, Charles Town, WV, 25414",39.2885077,-77.86235,,osm,WV,,,food_bank,way/233813938
Second Helpings,"1121 Southeastern Avenue, Indianapolis, IN, 46202",39.7656948,-86.1390819,,osm,IN,,,food_bank,way/234920836
ACRS Food Bank,"919 South King Street, Seattle, WA, 98104",47.5982124,-122.3202005,,osm,WA,,,food_bank,way/235387638
Museum of Boulder at Tebo Center,"2205 Broadway, Boulder, CO, 80302",40.0201046,-105.281171,,osm,CO,,https://museumofboulder.org/,food_bank,way/242114182
Sarge's Burger Bunker,,48.7083789,-119.4372033,,osm,,,,food_bank,way/242810433
Food Bank @ St. Mary's,,47.596896,-122.306714,,osm,,,,food_bank,way/245560784
Lion's Pantry,"133 Bluebell Road, University Park, PA, 16802",40.8105108,-77.8669887,Mo-Tu 13:00-18:00; We 12:00-18:00; Th 13:00-17:00,osm,PA,,https://thelionspantry.psu.edu/,food_bank,way/249794102
Rochester Food Bank,"18216 Corvallis Street Southwest, Rochester, WA, 98579",46.822471,-123.0937578,,osm,WA,,,food_bank,way/256109271
Salem Lutheran Church,"1145 Dekalb Avenue, Sycamore, 60178",41.9830369,-88.7036832,"Tu, We, Th 09:00-11:45",osm,,+1 815-895-9171,https://www.slcsycamore.org/,food_bank,way/259998191
Montgomery Food Pantry,"2200 State Route 208, Montgomery, NY, 12549",41.5233994,-74.2008191,,osm,NY,,,food_bank,way/261018595
Goodwill Church Food Pantry,"2135 State Route 208, Montgomery, NY, 12549",41.5191629,-74.206203,,osm,NY,,,food_bank,way/261022979
The Friendly Kitchen,,43.2137041,-71.5379378,,osm,,,,food_bank,way/261159198
Our Daily Bread,,36.1085977,-97.0492675,,osm,,,,food_bank,way/264037276
Ocean Shores Food Bank,,47.0151478,-124.1653968,,osm,,,,food_bank,way/264827028
Kelly Center for Hunger Relief,,31.7663738,-106.4889527,,osm,,,,food_bank,way/265457991
NY Common Pantry,"8 East 109th Street, 10029",40.795785,-73.9492267,We-Sa 11:00-14:30,osm,,+1 917-720-9700,https://nycommonpantry.org,food_bank,way/271279157
Southwest Emergency Services (SWES),"1201 Maple Avenue, Halethorpe, MD, 21227",39.2527603,-76.7007945,"Mo,We,Fr 09:00-11:30; PH off",osm,MD,,https://sweshelps.org,food_bank,way/278229181
I. T. Bookman Community Center,446 Randolph Street,37.7144856,-122.4668908,Mo-Fr 09:00-17:00; Sa-Su off,osm,,,https://swccsf.org/i-t-bookman-center,soup_kitchen,way/283204706
Community Food Bank of Grand Junction,"476 28 1/2 Road, Grand Junction, CO, 81501",39.0741129,-108.5240296,"Mo-Fr 09:00-12:00 ""phone"" || Mo,Tu,Th 12:30-17:30 ""pantry""; Tu[2], PH off || ""service by appointment""",osm,CO,+1-970-640-0336,https://www.foodbankgj.org/,food_bank,way/286065330
New Bethany Choice Food Pantry,"380 Shawnee Street, Bethlehem, PA, 18015",40.6106168,-75.3835094,,osm,PA,,,food_bank,way/289909675
Gleaners Community Food Bank,"2131 Beaufait Street, Detroit, MI, 48207",42.3542209,-83.0141996,,osm,MI,,,food_bank,way/292133316
Hunger Fighters Food Pantry,"4 Monroe Parkway, Lake Oswego, OR, 97035",45.4320869,-122.7033948,Mo 16:00-18:00; We 17:00-19:00; Fr 10:00-13:00,osm,OR,,https://www.hungerfightersoregon.org/,food_bank,way/294115235
Bread for the City,"1700 Good Hope Road Southeast, Washington, DC, 20020-4706",38.8662243,-76.9811022,Mo-Th 09:00-17:00; Fr 09:00-12:00,osm,DC,+1-202-561-8587,https://breadforthecity.org/,food_bank,way/295092024
Philabundance,"302 West Berks Street, Philadelphia, PA, 19122",39.9785278,-75.1407416,,osm,PA,+1 215-339-0900,https://www.philabundance.org/,food_bank,way/298694218
Superstition Community Food Bank,"575 North Idaho Road, Apache Junction, AZ, 85119",33.4214647,-111.5441879,,osm,AZ,+1 480 983 2995,https://superstitionfoodbank.org/,food_bank,way/300842254
Care Closet,206 East Liberty Street,42.7775793,-89.298449,Th 11:00-17:00; Sa 09:00-12:00,osm,,+16088824532,,food_bank,way/301180821
Feeding South Dakota,"1111 North Creek Drive, Rapid City, 57703",44.0963523,-103.1785947,,osm,,,,food_bank,way/301712661
Community Action,,41.7191133,-73.965356,,osm,,,,food_bank,way/304982176
Granite Falls Food Bank,"307 N Alder Ave, WA, 98252",48.0858082,-121.963513,,osm,WA,,,food_bank,way/310341349
Athens Area Emergency Food Bank,,33.9688272,-83.386343,,osm,,,,food_bank,way/310894564
Food Bank of the Golden Crescent,"Victoria, TX",28.7873307,-96.9904659,,osm,TX,,,food_bank,way/313612384
Neighborhood House Food Pantry,"3445 Southwest Moss Street, Portland, OR, 97219",45.4676946,-122.7124717,,osm,OR,+1-503-246-1663,https://nhpdx.org/,food_bank,way/313762484
House of Charity Food Centre,"714 Park Avenue, Minneapolis, MN",44.9726648,-93.2634946,,osm,MN,,https://www.houseofcharity.org/,food_bank,way/316003610
Corning Community Food Pantry,"39 West William Street, Corning, NY, 14830",42.1504678,-77.0623676,,osm,NY,+1-607-962-6750,,food_bank,way/316246329
McMerty Food Pantry,630,46.882799,-96.7890239,,osm,,,,food_bank,way/316313111
First Baptist Church Food Pantry,"125 East Church Street, Grand Prairie, TX, 75050",32.7466785,-97.0027182,"Mo 10:00-14:00 open ""New applications/renewals only"" || Tu,Th 08:00-12:00 ""Collection hours""",osm,TX,,,food_bank,way/318033637
Teri Able Community Kitchen,"402 South Alameda Street, Carlsbad, NM, 88220",32.4165604,-104.2313053,Mo-Fr 11:00-12:00,osm,NM,,,soup_kitchen,way/318619010
The BRICK Ministries,"420 Ellis Avenue, Ashland, WI, 54806",46.5894086,-90.880742,,osm,WI,,http://thebrickministries.com/,food_bank,way/326637448
Northern Illinois Food Bank - Northwest Center,"765 Research Parkway, Rockford, IL, 61109",42.2168913,-89.0854949,We 13:00-15:00; Th-Fr 01:00-19:00; PH closed,osm,IL,+1 815-639-1257,http://www.solehungartoday.org,food_bank,way/328903745
United Food Bank,"358 East Javelina Avenue, Mesa, AZ, 85210",33.3808887,-111.8253096,,osm,AZ,,,food_bank,way/330467497
Franciscan Kitchen,"748 South Preston Street, Louisville, KY",38.2432484,-85.7482595,,osm,KY,,https://franciscankitchen.org/,soup_kitchen,way/334050954
The First African Baptist Church,"1608 Christian Street, Philadelphia, 19146",39.9402063,-75.169821,Sa 10:00-12:00,osm,,+1 215 735 1050,,soup_kitchen,way/334264468
Mt. Zion Pentecostal Church - Point Breeze,"1224 Point Breeze Avenue, Philadelphia, PA, 19146",39.9364868,-75.1778902,Sa 11:00-14:00,osm,PA,,,food_bank,way/334890700
Bryant Baptist Church,"1144 South 19th Street, Philadelphia, PA, 19146",39.9373941,-75.1752647,,osm,PA,+1 215-732-4140,,food_bank,way/334903479
The Lord's Kitchen,"2732 South 5th Street, Louisville, KY, 40208",38.209367,-85.7668231,,osm,KY,,,soup_kitchen,way/335692676
Hissom Food Pantry,,38.3601781,-81.627031,,osm,,,,food_bank,way/336178452
Grace Evangelical Lutheran Church Food Bank,"3529 Haverford Avenue, Philadelphia, PA, 19104",39.9641425,-75.1943447,We 10:00-13:30,osm,PA,+1-215-222-3570,https://www.gracelutheranphila.com/,food_bank,way/337844893
FoCo Cafe - Free Meals for All,"225 Maple Street, Fort Collins, CO, 80521",40.5906111,-105.0798876,Mo-Sa 11:00-14:00,osm,CO,+1-309-368-1659,http://fococafe.org/,soup_kitchen,way/350094199
Helping Hand Rescue Mission,"610 North 6th Street, Philadelphia, PA, 19123",39.9628007,-75.1484708,Su 12:30+,osm,PA,+1 215-627-1656,,food_bank,way/351403997
Second Pilgrim Baptist Church,"854 North 15th Street, Philadelphia, PA, 19130",39.9699972,-75.1618128,Th 17:00-18:00,osm,PA,+1 215-879-3417,,food_bank,way/351503604
Maplewood Center,,42.7084541,-84.548589,,osm,,,http://lcrm.org/,food_bank,node/353949555
White Center Food Bank,"10016 16th Avenue Southwest, Seattle, WA, 98146",47.5131747,-122.3548478,Mo 12:00-16:00; We-Fr 10:00-14:00,osm,WA,+12067622848,,food_bank,way/354206551
Dallas Post Office,,41.2337284,-93.240666,,osm,,,,food_bank,node/354370551
Bread of Life Ministries Food Pantry,1001 East McDonald Street,32.6673551,-95.4749675,"Tu[1,3] 13:00-16:00",osm,,+1 903-405-0064,https://fbcmineola.org/missions/bread-of-life-food-pantry,food_bank,node/356708585
Red Cliff Food Shelf,,46.8513614,-90.790668,,osm,,,,food_bank,way/356858504
Community Kitchen and Pantry,"252 West 116th Street, New York, NY, 10026",40.804032,-73.9549316,,osm,NY,,https://www.foodbanknyc.org/community-kitchen/,food_bank,node/357622057
Abundant Harvest,,38.4108947,-96.1630356,,osm,,,,food_bank,node/358631453
Beyond Blessed Pantry,"Lake Street, Baraboo, 53913",43.4544409,-89.730976,,osm,,,https://www.bbpantry.org,food_bank,way/366851112
Canaan Baptist Church Coalition for the Homeless,DC,38.9328594,-77.0368238,,osm,DC,,,food_bank,node/367141197
Bread for the City,"1525 7th Street Northwest, Washington, DC, 20001",38.9103,-77.0217,Mo-Th 09:00-17:00; Fr 09:00-12:00,osm,DC,+1-202-265-2400,https://breadforthecity.org/,food_bank,node/367141203
Hereford House,"7704 North Hereford Avenue, Portland, OR, 97203",45.5826905,-122.7216752,,osm,OR,+1-503-247-3511,https://www.herefordhousepdx.org/,food_bank,way/367175152
Luthern Center,PA,40.5089211,-75.7852945,,osm,PA,,,food_bank,node/367959695
Henniker Food Pantry,,43.1794251,-71.8231818,,osm,,,,food_bank,way/367979993
Mainspring,"3500 Northeast 82nd Avenue, Portland, OR, 97220",45.5482928,-122.578474,,osm,OR,,https://mainspringpdx.org/,food_bank,way/368229270
Portland Rescue Mission - Drive Away Hunger,"8301 Northeast Halsey Street, Portland, 97220",45.5338862,-122.5772361,,osm,,,,food_bank,way/368271828
Skagit Gleaners,"1021 Riverside Drive, Mount Vernon, 98273",48.4298314,-122.33635,"Mo,We 09:00-12:30; Tu,Th 15:00-18:30; Fr 09:00-12:45; Sa,Su 09:00-11:30",osm,,,https://www.skagitgleaners.org/,food_bank,way/368323386
Clark County Food Bank,"6502 Northeast 47th Avenue, Vancouver, WA, 98661",45.6696561,-122.6231466,"Mo-Fr 08:00-17:00 open ""office"" || Mo-Fr 07:00-16:00 open ""warehouse""",osm,WA,+1-360-693-0939,https://www.clarkcountyfoodbank.org/,food_bank,way/369614366
Preble Street Resource Center,"5 Portland Street, Portland, ME, 04101",43.6587608,-70.2619564,,osm,ME,+1-207-775-0026,https://www.preblestreet.org/,soup_kitchen,way/370490595
Share Iowa Inc,"1102 South 7th Street, Oskaloosa, IA, 52577",41.2858404,-92.6360902,,osm,IA,,,food_bank,way/370932557
North County Community Food Bank,"17 Northeast 3rd Avenue, Battle Ground, WA, 98604",45.7813874,-122.5340974,,osm,WA,,,food_bank,way/371448812
Tri-Community Food Bank,"108 Redwood Drive, Mammoth, AZ, 85618",32.7346916,-110.6492975,,osm,AZ,+1 520 487 2010,,food_bank,way/377342287
West Valley Community Services,"10104 Vista Drive, Cupertino, CA, 95014",37.3238757,-122.0273461,,osm,CA,,,food_bank,way/377390080
Food Distribution Center - Aca/cvoeo,"700 Exchange Street, Middlebury, VT, 05753",44.0288821,-73.1704167,,osm,VT,,,food_bank,way/378077298
CUMAC Food Bank,"223 Ellison Street, Paterson, NJ, 07505",40.9173767,-74.1676967,,osm,NJ,+1-973-742-5518,https://www.cumac.org/,food_bank,way/379442284
Hyde Park Baptist Church Food Pantry,3810 Speedway,30.3013255,-97.733369,,osm,,,,food_bank,way/381805534
Hanover Township Community Center,"7431 Astor Avenue, Hanover Park, IL, 60133",42.0081957,-88.1590224,,osm,IL,+1 630 540 9085,https://www.hanover-township.org/Home/Components/FacilityDirectory/FacilityDirectory/6/1393,food_bank,way/382364690
Maltby Food Bank,"21104 86th Avenue Southeast, WA",47.8061589,-122.1169458,,osm,WA,,https://www.maltbyfoodbank.org,food_bank,way/383495533
Salvation Army,"1550 West Branch Street, Arroyo Grande, CA, 93420",35.1309021,-120.6032029,,osm,CA,+1-805-481-0278,,food_bank,way/383664733
Food Bank of North Alabama,,34.7235922,-86.5965024,,osm,,,,food_bank,way/384817215
Salvation Army of Norman Food Distribution Center,"318 East Hayes Street, Norman, 73069",35.232178,-97.4418013,,osm,,,https://www.salvationarmyusa.org/usn/,food_bank,way/386420366
Virginia Peninsula Foodbank,"2401 Aluminum Avenue, Hampton, 23661",37.005552,-76.4039319,,osm,,,,food_bank,way/388498511
Community Cupboard of Lawrence Township,"7101 Pendleton Pike, Indianapolis, IN, 46226",39.8276959,-86.0441581,"We 10:00-16:00,18:00-20:00; Fr 10:00-16:00",osm,IN,+1-317-355-7395,,food_bank,way/389703151
Goffstown Networks Food Pantry,"7 North Mast Street, Goffstown, NH, 03045",43.0206005,-71.6010426,,osm,NH,,,food_bank,way/390292855
Hopelink,"14812 Main Street, Bellevue, WA, 98007",47.6102218,-122.1415825,,osm,WA,,,food_bank,way/392715218
SCICAP,"306 North Main Street, Leon, 50144",40.7415291,-93.7471251,,osm,,,,food_bank,way/394726061
New Covenant Center,"174 Richmond Hill Avenue, Stamford, CT, 06902",41.0476558,-73.5512382,,osm,CT,,,food_bank,way/398402649
Kansas Food Bank Cargill Cares Complex,,37.6855736,-97.3142691,,osm,,,,food_bank,way/398859705
Columbia Pacific Food Bank,"1421 Columbia Boulevard, Saint Helens, OR, 97051",45.8601084,-122.812111,Mo-Th 09:00-13:00,osm,OR,+1-503-397-9708,https://cpfoodbank.org/food-pantries/st-helens-area-food-pantry/,food_bank,way/399307568
Saint Cloud Community Pantry,"801 Missouri Avenue, Saint Cloud, FL, 34769",28.2494733,-81.2888249,,osm,FL,,,food_bank,way/399508634
Interfaith Food Pantry,,40.8311712,-74.4967373,,osm,,,,food_bank,way/400473806
God's Pantry Food Bank,"1685 Jaggie Fox Way, Lexington, KY",38.0853252,-84.5184499,,osm,KY,,,food_bank,way/403413841
Echols County Nutrition Center,,30.7060077,-83.0229369,,osm,,,,food_bank,way/403880773
Friends Neighborhood Guild,"701 North 8th Street, Philadelphia, PA, 19123",39.9645649,-75.1509618,Mo-Fr 08:30-16:30,osm,PA,+1 215-923-1544,,food_bank,way/404124335
Bethlehem Lutheran Church,"1915 North 1st Street, Dekalb, IL, 60115",41.9504256,-88.7470989,,osm,IL,+1 815 758 3203,https://bethlehemdekalb.org/,food_bank,way/406504021
Grace Place Campus Ministry,"401 Normal Road, DeKalb, 60115",41.9366225,-88.7661642,"Th[1,3] 17:30-19:30 ""Students Only""",osm,,+1 815 756 7770,http://www.graceplaceniu.com/,food_bank,way/406506854
St. Vincent DePaul Catholic Pantry,"302 Fisk Avenue, DeKalb, 60115",41.9334177,-88.7482134,Tu 15:00-18:00,osm,,,,food_bank,way/406507355
Foodbank of Southeastern Virginia and the Eastern Shore,"800 Tidewater Drive, Norfolk, VA, 23504",36.8520447,-76.2744762,,osm,VA,+1-757-627-6599;+1-877-486-4379,https://www.foodbankonline.org/,food_bank,way/407238415
Visions Community Outreach,"2300 Griffith Avenue, Los Angeles, CA, 90011",34.0222803,-118.2561788,"Sa[2,4] 10:00-12:00",osm,CA,+1-310-920-1026,,food_bank,way/407316795
Bethel Presbyterian Church,"1900 West York Street, Philadelphia, PA, 19132",39.9902871,-75.1638536,Th 12:00-14:00,osm,PA,,,food_bank,way/410146320
Congreso de Latinos Unidos,"216 West Somerset Street, Philadelphia, PA, 19133",39.9929068,-75.1354286,Mo-Fr 09:00-12:00,osm,PA,+1 215-763-8870,,food_bank,way/410149262
First Pentecostal Church,"1505 South 20th Street, Philadelphia, PA, 19146",39.9327394,-75.1774851,Sa 10:30-12:00,osm,PA,+1 215-468-1711,,food_bank,way/410149264
Footprints Food Pantry,"37 Old Post Road, Kittery, ME, 03904",43.0930584,-70.752641,,osm,ME,,,food_bank,way/413120634
Bath Area Food Bank,"807 Middle Street, Bath, ME, 04530",43.913461,-69.817645,,osm,ME,,,food_bank,way/413431919
